charge_id,invoice_id,customer_id,subscription_id,amount,currency,status,paid,failure_code,failure_message,attempt,created
ch_y736hxpo6zd87r,in_1s9bay6b0m1g0e,cus_00000,sub_m969f5gcl9lcqh,9900,usd,succeeded,True,,,1,2023-09-01 00:13:00
ch_5d7vkc5bnz72wu,in_2r6wssk4w0w5qu,cus_00000,sub_dwwo8nbhnal3gy,2900,usd,succeeded,True,,,1,2024-04-01 00:19:00
ch_sfagn3ciblfdjg,in_ma4800hersosp8,cus_00001,sub_dslcb8qsspye9r,9900,usd,succeeded,True,,,1,2024-04-01 00:37:00
ch_9t27yfzrklsppc,in_09nd3hguvrbzwu,cus_00001,sub_dslcb8qsspye9r,9900,usd,succeeded,True,,,1,2024-05-01 00:05:00
ch_76wyk3x5zn9c56,in_zuonew4mwocki4,cus_00001,sub_dslcb8qsspye9r,9900,usd,succeeded,True,,,1,2024-06-01 00:13:00
ch_h3fc5p2ur3fcr5,in_b1ubb25k9qhzgi,cus_00001,sub_dslcb8qsspye9r,9900,usd,succeeded,True,,,1,2024-07-08 00:00:00
ch_66190ruiijc57v,in_v730kf8vd3rrj1,cus_00001,sub_dslcb8qsspye9r,9900,usd,succeeded,True,,,1,2024-08-01 00:22:00
ch_sf14pn1qy8ecv8,in_3wpxwdogdmbp7t,cus_00002,sub_ai9hasez2nx1wv,2900,usd,succeeded,True,,,1,2024-08-01 00:50:00
ch_jmp9khzavrwb98,in_4xvdn0a59wagp5,cus_00002,sub_ai9hasez2nx1wv,2900,usd,succeeded,True,,,1,2024-09-01 00:48:00
ch_ghugt7sayqn92t,in_p84lvx4ox3kxrj,cus_00002,sub_ai9hasez2nx1wv,2900,usd,succeeded,True,,,1,2024-10-01 00:45:00
ch_njepli20ak6n0x,in_2krynlaf0ph6ee,cus_00003,sub_epejzhyapdswzp,9900,usd,succeeded,True,,,1,2024-03-01 00:30:00
ch_fl1zypeqvv4wvx,in_ikuxpg3jpa9fys,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-04-10 00:00:00
ch_equz8d9m0ib3w4,in_12i21ihhqpst2s,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-06-13 00:00:00
ch_kv4wmtq9fxpt6q,in_witr0meva7j6oy,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-06-01 01:00:00
ch_p8uuhnykyfjnbi,in_p0p148yivc99bx,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-07-01 00:59:00
ch_kixzs5au36p67u,in_inrjohtrfozlaf,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-09-01 00:46:00
ch_48l94wozrzuwqf,in_29x5lal5wl10mv,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-10-01 00:15:00
ch_29w1yyitbljitx,in_fp5ny1li8are10,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-11-07 00:00:00
ch_t77hvx55jmpggd,in_yep6c15r5bo46y,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2024-12-01 00:24:00
ch_l6rmx1vzap3oe2,in_0twkdw1ux6ovhb,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-01-06 00:00:00
ch_t62u15os8i2gkm,in_3srb3xc39yuv3f,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-02-01 00:09:00
ch_wttj8vi73mlc16,in_cml5ugddxbzt0t,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-03-01 00:17:00
ch_jodad46y07bonn,in_x7ynslqmni47bn,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-04-07 00:00:00
ch_8v7ljq54bg5c21,in_443bmasmnqltu3,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-05-01 00:45:00
ch_cwbpoyiq97dh4i,in_073aeep2r61ljx,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-06-01 00:07:00
ch_fnl86o1bxmtbz6,in_w9i9nfr72hn20g,cus_00004,sub_edhhjshzkbrh7l,19900,usd,succeeded,True,,,1,2025-07-01 00:41:00
ch_qdw8q8zj772595,in_um51tl35bdlhty,cus_00004,sub_fds0dji9kqdgbk,9900,usd,succeeded,True,,,1,2025-08-01 00:22:00
ch_n46otn4ll1wor2,in_ey4948jo5xmdda,cus_00005,sub_1b4xgmpw5d3go8,2900,usd,succeeded,True,,,1,2025-05-01 00:59:00
ch_slxsol5tihm7x1,in_pmwmvgik1e6u4g,cus_00006,sub_x2ezc7fov2ygnm,2900,usd,succeeded,True,,,1,2024-02-01 00:18:00
ch_q0iw3d1cz5u5mt,in_hxchyhp386fsrk,cus_00006,sub_x2ezc7fov2ygnm,2900,usd,succeeded,True,,,1,2024-03-31 00:00:00
