customer_id,utm_source,utm_medium,utm_campaign,created
cus_00000,twitter,email,camp_2,2023-06-22 22:43:23
cus_00001,linkedin,referral,camp_7,2023-02-08 20:28:06
cus_00002,facebook,cpc,camp_9,2024-03-03 05:50:10
cus_00003,google,organic,camp_8,2024-01-16 10:13:48
cus_00004,email,cpc,camp_9,2023-12-13 17:53:58
cus_00005,email,organic,camp_5,2023-08-05 18:21:03
cus_00006,google,referral,camp_10,2023-06-09 05:17:49
cus_00007,google,referral,camp_10,2025-04-27 04:44:17
cus_00008,facebook,email,camp_2,2023-05-16 01:18:52
cus_00009,linkedin,organic,camp_3,2025-07-06 07:09:23
cus_00010,email,organic,camp_2,2024-10-17 10:23:08
cus_00011,facebook,email,camp_7,2023-02-19 08:56:39
cus_00012,linkedin,email,camp_6,2023-02-16 06:55:15
cus_00013,facebook,organic,camp_6,2023-05-26 13:12:42
cus_00014,email,email,camp_9,2023-12-06 15:24:52
cus_00015,google,referral,camp_6,2023-12-28 10:13:36
cus_00016,google,cpc,camp_3,2025-02-24 01:00:38
cus_00017,linkedin,referral,camp_4,2023-02-11 05:19:57
cus_00018,twitter,email,camp_10,2025-05-21 20:43:57
cus_00019,linkedin,organic,camp_9,2023-11-05 21:12:17
cus_00020,twitter,organic,camp_7,2025-04-26 12:53:27
cus_00021,facebook,referral,camp_9,2024-10-13 16:49:57
cus_00022,facebook,organic,camp_1,2023-12-09 10:37:19
cus_00023,email,email,camp_1,2024-11-28 19:43:37
cus_00024,twitter,referral,camp_1,2025-07-04 09:25:01
cus_00025,email,organic,camp_3,2024-03-08 03:42:04
cus_00026,google,cpc,camp_6,2023-01-11 02:17:28
cus_00027,twitter,cpc,camp_8,2023-09-06 00:31:50
cus_00028,linkedin,email,camp_9,2024-10-18 12:12:24
cus_00029,google,organic,camp_8,2024-06-12 13:27:31
cus_00030,google,email,camp_3,2024-03-07 15:47:40
cus_00031,linkedin,referral,camp_10,2023-08-30 12:41:45
cus_00032,google,cpc,camp_9,2023-12-01 11:28:43
cus_00033,twitter,referral,camp_3,2024-06-06 21:09:15
cus_00034,email,organic,camp_6,2023-06-08 18:40:31
cus_00035,google,email,camp_10,2023-05-25 01:48:56
cus_00036,twitter,email,camp_6,2024-08-13 04:42:59
cus_00037,facebook,email,camp_3,2023-05-31 05:50:52
cus_00038,twitter,referral,camp_7,2024-07-11 15:43:16
cus_00039,email,cpc,camp_10,2024-06-18 07:35:55
cus_00040,twitter,referral,camp_5,2024-02-15 22:03:09
cus_00041,linkedin,referral,camp_10,2023-03-09 11:56:59
cus_00042,email,organic,camp_6,2024-12-14 16:36:03
cus_00043,facebook,organic,camp_9,2025-04-13 00:01:56
cus_00044,linkedin,organic,camp_9,2023-07-13 21:51:23
cus_00045,twitter,cpc,camp_9,2024-08-11 00:47:04
cus_00046,email,cpc,camp_8,2023-05-03 09:53:03
cus_00047,facebook,organic,camp_10,2025-05-07 13:33:59
cus_00048,linkedin,organic,camp_5,2024-03-31 10:28:42
cus_00049,facebook,cpc,camp_8,2024-07-15 18:43:51
cus_00050,twitter,email,camp_1,2025-06-15 21:14:53
cus_00051,facebook,cpc,camp_6,2023-10-26 17:02:17
cus_00052,google,cpc,camp_6,2023-04-19 01:12:14
cus_00053,linkedin,cpc,camp_2,2023-03-13 04:27:24
cus_00054,facebook,organic,camp_7,2023-12-21 00:39:48
cus_00055,twitter,email,camp_10,2024-03-25 13:09:54
cus_00056,twitter,cpc,camp_5,2023-05-04 22:51:37
cus_00057,facebook,organic,camp_1,2023-12-28 15:04:23
cus_00058,twitter,referral,camp_10,2023-06-06 21:36:22
cus_00059,email,referral,camp_8,2024-08-13 12:07:58
cus_00060,email,cpc,camp_5,2024-03-07 19:36:25
cus_00061,email,referral,camp_10,2024-12-05 08:21:40
cus_00062,google,email,camp_10,2024-07-20 17:55:46
cus_00063,facebook,referral,camp_4,2023-09-10 16:11:03
cus_00064,google,referral,camp_1,2024-07-29 01:20:48
cus_00065,twitter,email,camp_10,2024-07-05 21:27:06
cus_00066,google,cpc,camp_8,2023-11-22 10:59:17
cus_00067,twitter,cpc,camp_3,2024-02-19 17:39:16
cus_00068,twitter,email,camp_9,2023-04-21 22:04:42
cus_00069,linkedin,email,camp_10,2023-09-23 20:30:40
cus_00070,email,email,camp_7,2025-04-09 18:10:40
cus_00071,twitter,referral,camp_3,2024-01-16 07:12:46
cus_00072,linkedin,email,camp_4,2023-09-11 20:05:11
cus_00073,email,organic,camp_1,2024-12-19 02:18:35
cus_00074,twitter,referral,camp_10,2024-08-12 11:07:27
cus_00075,twitter,cpc,camp_2,2024-02-24 08:23:03
cus_00076,google,cpc,camp_4,2025-05-15 04:35:29
cus_00077,google,cpc,camp_1,2023-12-08 03:50:49
cus_00078,email,referral,camp_8,2024-05-18 18:08:11
cus_00079,twitter,organic,camp_6,2023-03-28 21:31:04
cus_00080,facebook,email,camp_7,2023-12-22 19:31:51
cus_00081,google,email,camp_3,2023-02-19 20:47:01
cus_00082,email,cpc,camp_7,2024-05-05 00:56:31
cus_00083,twitter,cpc,camp_4,2024-09-15 04:30:26
cus_00084,twitter,referral,camp_7,2024-02-20 22:06:12
cus_00085,facebook,organic,camp_9,2023-04-13 19:41:24
cus_00086,email,email,camp_10,2023-11-24 18:00:37
cus_00087,twitter,referral,camp_8,2025-05-31 02:00:17
cus_00088,google,email,camp_1,2024-05-03 20:02:30
cus_00089,facebook,cpc,camp_3,2023-11-27 07:17:31
cus_00090,email,email,camp_9,2025-02-14 12:41:25
cus_00091,facebook,organic,camp_4,2024-09-06 14:13:34
cus_00092,google,organic,camp_9,2024-12-13 19:14:13
cus_00093,email,cpc,camp_6,2023-08-10 22:38:20
cus_00094,facebook,organic,camp_8,2024-02-16 11:26:54
cus_00095,linkedin,organic,camp_9,2023-08-05 21:47:44
cus_00096,google,referral,camp_7,2024-01-19 02:56:23
cus_00097,google,email,camp_6,2025-05-22 01:19:15
cus_00098,google,cpc,camp_3,2025-04-17 06:31:47
cus_00099,linkedin,cpc,camp_8,2024-02-13 03:43:01
cus_00100,linkedin,cpc,camp_9,2025-06-27 02:56:43
cus_00101,twitter,cpc,camp_6,2024-10-27 13:10:14
cus_00102,facebook,cpc,camp_9,2025-06-25 11:41:03
cus_00103,twitter,organic,camp_6,2024-09-12 10:43:48
cus_00104,facebook,referral,camp_5,2024-07-16 08:12:20
cus_00105,linkedin,cpc,camp_10,2023-12-07 16:52:13
cus_00106,linkedin,referral,camp_8,2023-08-03 21:22:52
cus_00107,twitter,referral,camp_4,2025-03-02 12:31:01
cus_00108,email,organic,camp_4,2025-02-05 15:36:14
cus_00109,twitter,cpc,camp_5,2023-05-22 05:20:54
cus_00110,facebook,organic,camp_9,2023-03-15 04:37:32
cus_00111,twitter,cpc,camp_5,2023-06-20 08:00:57
cus_00112,google,organic,camp_4,2023-08-26 10:20:14
cus_00113,facebook,referral,camp_5,2023-09-06 12:33:40
cus_00114,facebook,cpc,camp_5,2024-10-17 19:15:51
cus_00115,email,email,camp_4,2023-04-09 16:29:04
cus_00116,linkedin,referral,camp_8,2024-08-20 17:09:54
cus_00117,facebook,email,camp_6,2024-08-15 19:47:53
cus_00118,linkedin,referral,camp_8,2025-07-14 16:19:50
cus_00119,twitter,organic,camp_6,2024-12-28 02:09:52
cus_00120,google,cpc,camp_9,2025-04-01 22:48:45
cus_00121,email,referral,camp_5,2024-01-26 13:23:51
cus_00122,linkedin,organic,camp_5,2025-05-09 09:45:22
cus_00123,facebook,cpc,camp_2,2023-01-18 20:02:36
cus_00124,linkedin,cpc,camp_10,2023-06-27 22:47:54
cus_00125,facebook,referral,camp_9,2025-04-14 03:42:17
cus_00126,linkedin,cpc,camp_7,2024-02-19 11:57:50
cus_00127,facebook,referral,camp_7,2024-06-12 10:39:39
cus_00128,twitter,cpc,camp_6,2023-06-23 06:57:59
cus_00129,facebook,email,camp_3,2024-03-31 22:28:40
cus_00130,facebook,organic,camp_5,2024-11-06 09:13:24
cus_00131,google,email,camp_1,2023-09-03 16:32:54
cus_00132,facebook,referral,camp_5,2024-12-05 20:02:45
cus_00133,google,email,camp_2,2023-01-06 00:59:38
cus_00134,email,referral,camp_6,2024-02-14 03:51:19
cus_00135,google,cpc,camp_8,2025-02-16 15:12:10
cus_00136,twitter,cpc,camp_5,2023-10-05 12:37:29
cus_00137,google,referral,camp_8,2025-02-27 15:44:40
cus_00138,email,email,camp_4,2023-06-15 07:16:58
cus_00139,twitter,cpc,camp_4,2024-04-08 14:49:41
cus_00140,linkedin,organic,camp_9,2025-02-27 15:02:38
cus_00141,linkedin,cpc,camp_5,2023-11-05 23:56:36
cus_00142,google,organic,camp_9,2023-08-26 10:15:39
cus_00143,google,email,camp_5,2024-08-03 20:31:07
cus_00144,email,organic,camp_3,2023-09-08 22:59:04
cus_00145,email,organic,camp_2,2025-04-17 21:30:27
cus_00146,facebook,organic,camp_10,2025-04-03 21:01:04
cus_00147,email,organic,camp_10,2023-01-01 21:19:18
cus_00148,facebook,cpc,camp_4,2024-05-18 13:24:49
cus_00149,twitter,organic,camp_4,2025-01-29 00:32:28
cus_00150,google,cpc,camp_1,2023-01-31 06:08:44
cus_00151,twitter,organic,camp_9,2023-06-23 18:43:51
cus_00152,email,referral,camp_4,2024-07-17 20:54:13
cus_00153,twitter,email,camp_4,2024-04-22 16:57:27
cus_00154,twitter,organic,camp_1,2024-01-07 23:25:45
cus_00155,twitter,referral,camp_2,2023-03-31 23:36:24
cus_00156,email,organic,camp_7,2024-01-10 04:20:37
cus_00157,twitter,organic,camp_6,2025-05-31 08:35:59
cus_00158,facebook,organic,camp_8,2023-05-03 08:16:32
cus_00159,email,referral,camp_2,2023-05-14 01:23:31
cus_00160,twitter,email,camp_3,2025-01-24 23:02:15
cus_00161,email,referral,camp_1,2023-04-18 12:25:46
cus_00162,linkedin,email,camp_9,2025-04-07 12:43:31
cus_00163,facebook,organic,camp_3,2023-07-15 08:41:30
cus_00164,twitter,cpc,camp_7,2023-07-19 10:46:50
cus_00165,linkedin,organic,camp_8,2025-01-08 07:48:40
cus_00166,linkedin,email,camp_8,2025-05-04 02:09:49
cus_00167,email,referral,camp_4,2023-09-14 12:22:45
cus_00168,linkedin,organic,camp_5,2024-02-16 18:01:38
cus_00169,facebook,referral,camp_6,2025-03-30 17:06:16
cus_00170,facebook,referral,camp_5,2024-10-19 07:43:32
cus_00171,google,referral,camp_1,2023-11-26 00:24:33
cus_00172,facebook,organic,camp_2,2025-04-17 18:24:55
cus_00173,linkedin,referral,camp_10,2023-11-09 11:27:18
cus_00174,facebook,referral,camp_4,2024-04-29 05:37:32
cus_00175,email,organic,camp_9,2024-09-11 19:30:39
cus_00176,google,referral,camp_1,2024-08-03 02:07:31
cus_00177,linkedin,organic,camp_3,2024-11-11 13:33:17
cus_00178,google,email,camp_7,2025-03-15 00:37:33
cus_00179,linkedin,email,camp_3,2024-12-02 08:37:24
cus_00180,email,email,camp_1,2023-07-07 23:21:48
cus_00181,google,referral,camp_7,2024-01-21 02:35:28
cus_00182,twitter,cpc,camp_8,2023-12-16 01:19:26
cus_00183,linkedin,cpc,camp_3,2023-04-10 11:03:30
cus_00184,twitter,referral,camp_5,2024-06-09 04:44:36
cus_00185,google,cpc,camp_1,2023-02-02 16:12:50
cus_00186,twitter,organic,camp_1,2025-07-02 21:44:19
cus_00187,twitter,cpc,camp_5,2025-05-10 11:41:28
cus_00188,google,referral,camp_10,2023-12-24 11:17:56
cus_00189,email,referral,camp_10,2025-07-03 02:38:15
cus_00190,twitter,organic,camp_2,2023-12-09 02:17:57
cus_00191,twitter,email,camp_6,2023-01-12 04:05:38
cus_00192,email,referral,camp_5,2023-04-21 06:48:50
cus_00193,twitter,organic,camp_8,2023-04-02 10:58:23
cus_00194,twitter,cpc,camp_9,2023-12-22 15:34:06
cus_00195,twitter,cpc,camp_9,2023-04-15 16:51:58
cus_00196,facebook,organic,camp_8,2023-02-18 19:09:35
cus_00197,email,organic,camp_3,2024-05-28 07:16:01
cus_00198,twitter,referral,camp_9,2023-04-21 01:45:12
cus_00199,email,cpc,camp_8,2025-03-09 17:07:46
cus_00200,linkedin,organic,camp_5,2024-01-05 17:27:21
cus_00201,linkedin,cpc,camp_4,2024-03-08 14:23:05
cus_00202,twitter,organic,camp_2,2025-01-24 01:33:51
cus_00203,email,cpc,camp_6,2023-11-29 19:19:37
cus_00204,email,email,camp_3,2025-04-17 16:05:53
cus_00205,email,referral,camp_8,2023-07-25 12:56:35
cus_00206,facebook,cpc,camp_5,2025-06-06 02:01:46
cus_00207,linkedin,email,camp_3,2025-06-14 02:43:38
cus_00208,email,cpc,camp_1,2025-01-04 06:27:11
cus_00209,email,cpc,camp_6,2024-01-13 11:35:37
cus_00210,facebook,email,camp_5,2025-01-04 17:42:33
cus_00211,facebook,cpc,camp_10,2024-09-24 08:17:43
cus_00212,email,cpc,camp_4,2023-10-23 18:59:46
cus_00213,google,referral,camp_3,2023-05-27 12:43:14
cus_00214,email,email,camp_10,2023-05-31 13:50:33
cus_00215,email,email,camp_7,2024-10-31 14:45:10
cus_00216,facebook,organic,camp_7,2024-07-04 09:10:14
cus_00217,facebook,cpc,camp_9,2024-10-20 00:09:20
cus_00218,email,referral,camp_6,2024-09-30 15:00:13
cus_00219,email,cpc,camp_2,2024-12-26 11:56:29
cus_00220,email,cpc,camp_7,2023-03-26 03:38:53
cus_00221,facebook,organic,camp_2,2023-06-02 21:17:03
cus_00222,email,cpc,camp_3,2023-04-05 03:48:15
cus_00223,email,referral,camp_3,2024-09-17 10:48:33
cus_00224,twitter,referral,camp_8,2024-06-11 02:07:04
cus_00225,google,organic,camp_6,2023-06-19 17:50:41
cus_00226,linkedin,cpc,camp_4,2024-01-22 06:34:48
cus_00227,google,referral,camp_1,2023-10-25 14:59:44
cus_00228,twitter,cpc,camp_5,2023-10-23 11:30:07
cus_00229,linkedin,cpc,camp_7,2025-04-13 02:10:55
cus_00230,email,cpc,camp_4,2024-11-27 21:31:31
cus_00231,twitter,organic,camp_8,2023-08-06 18:22:29
cus_00232,email,cpc,camp_5,2024-10-17 08:53:15
cus_00233,facebook,referral,camp_6,2023-10-13 00:55:47
cus_00234,twitter,cpc,camp_5,2024-03-08 16:54:56
cus_00235,facebook,referral,camp_10,2024-12-19 16:01:28
cus_00236,twitter,cpc,camp_10,2024-01-24 01:27:33
cus_00237,twitter,referral,camp_1,2023-04-28 02:33:08
cus_00238,facebook,referral,camp_5,2024-11-19 09:06:41
cus_00239,linkedin,cpc,camp_6,2025-05-04 21:36:53
cus_00240,google,cpc,camp_4,2023-06-02 02:18:07
cus_00241,email,referral,camp_1,2023-03-20 14:04:10
cus_00242,twitter,email,camp_2,2025-04-19 18:34:44
cus_00243,email,organic,camp_8,2023-01-23 22:12:45
cus_00244,facebook,email,camp_5,2023-05-25 21:05:17
cus_00245,email,email,camp_3,2024-01-03 04:51:58
cus_00246,facebook,cpc,camp_7,2023-09-16 08:31:39
cus_00247,email,organic,camp_9,2024-09-23 08:12:51
cus_00248,google,email,camp_5,2025-01-24 10:00:48
cus_00249,google,cpc,camp_2,2025-01-17 18:20:33
cus_00250,google,email,camp_5,2023-11-29 01:04:36
cus_00251,google,email,camp_6,2024-09-14 23:51:56
cus_00252,google,cpc,camp_10,2023-04-02 02:05:10
cus_00253,google,cpc,camp_4,2023-09-13 18:07:00
cus_00254,facebook,cpc,camp_4,2024-08-11 17:08:31
cus_00255,twitter,organic,camp_3,2023-01-04 08:21:29
cus_00256,email,email,camp_8,2024-08-29 11:58:41
cus_00257,google,cpc,camp_3,2024-02-16 23:29:11
cus_00258,facebook,referral,camp_8,2024-12-07 19:56:29
cus_00259,facebook,email,camp_10,2024-03-19 02:51:43
cus_00260,facebook,referral,camp_6,2024-10-19 02:51:43
cus_00261,twitter,organic,camp_7,2025-05-13 08:32:41
cus_00262,email,cpc,camp_9,2025-01-26 00:25:31
cus_00263,twitter,referral,camp_8,2023-08-29 11:14:38
cus_00264,linkedin,organic,camp_9,2023-10-22 23:54:20
cus_00265,facebook,cpc,camp_4,2024-04-05 22:04:10
cus_00266,linkedin,referral,camp_4,2023-12-05 04:28:39
cus_00267,google,referral,camp_10,2023-04-01 20:24:54
cus_00268,google,organic,camp_2,2025-06-18 17:24:22
cus_00269,twitter,cpc,camp_9,2025-04-22 06:30:08
cus_00270,email,cpc,camp_8,2023-04-05 16:39:46
cus_00271,linkedin,referral,camp_9,2024-05-02 04:02:05
cus_00272,email,referral,camp_6,2023-03-30 19:16:33
cus_00273,twitter,referral,camp_2,2023-03-19 21:26:30
cus_00274,google,cpc,camp_10,2025-06-26 11:43:09
cus_00275,email,organic,camp_2,2025-01-10 15:57:51
cus_00276,email,organic,camp_1,2025-02-20 03:37:15
cus_00277,google,cpc,camp_9,2025-04-05 01:49:03
cus_00278,linkedin,email,camp_9,2023-09-02 13:31:03
cus_00279,google,organic,camp_4,2023-03-30 08:37:27
cus_00280,email,referral,camp_10,2025-02-27 21:13:07
cus_00281,linkedin,email,camp_9,2023-05-05 10:46:18
cus_00282,linkedin,email,camp_3,2023-10-16 16:03:24
cus_00283,google,organic,camp_3,2023-04-17 10:39:37
cus_00284,email,email,camp_6,2025-07-13 08:31:00
cus_00285,twitter,email,camp_9,2023-04-16 13:45:52
cus_00286,email,organic,camp_8,2024-01-01 09:02:12
cus_00287,facebook,organic,camp_2,2024-09-19 05:50:37
cus_00288,twitter,email,camp_4,2023-07-06 05:41:48
cus_00289,linkedin,referral,camp_10,2025-06-03 23:02:19
cus_00290,twitter,cpc,camp_8,2024-01-18 11:34:24
cus_00291,linkedin,email,camp_2,2025-06-18 07:40:00
cus_00292,linkedin,email,camp_9,2025-07-12 13:16:50
cus_00293,twitter,referral,camp_8,2023-03-03 17:40:35
cus_00294,linkedin,email,camp_1,2023-05-08 08:33:46
cus_00295,linkedin,email,camp_8,2024-10-13 05:50:15
cus_00296,facebook,cpc,camp_3,2025-06-25 16:52:48
cus_00297,email,cpc,camp_9,2025-05-28 01:11:13
cus_00298,email,cpc,camp_7,2025-03-23 02:45:08
cus_00299,facebook,organic,camp_8,2024-05-06 11:07:21
cus_00300,twitter,organic,camp_10,2024-02-10 02:02:59
cus_00301,google,cpc,camp_1,2023-11-14 07:20:05
cus_00302,google,cpc,camp_9,2024-05-03 01:37:24
cus_00303,google,organic,camp_8,2024-01-06 18:51:26
cus_00304,facebook,referral,camp_5,2024-02-17 14:49:36
cus_00305,facebook,email,camp_1,2024-09-06 19:57:57
cus_00306,linkedin,email,camp_7,2023-07-23 07:29:45
cus_00307,google,cpc,camp_5,2024-04-11 00:42:06
cus_00308,twitter,referral,camp_1,2024-12-11 06:34:03
cus_00309,twitter,organic,camp_4,2024-05-06 03:56:24
cus_00310,google,cpc,camp_10,2023-04-23 16:36:12
cus_00311,google,referral,camp_2,2023-01-15 11:18:19
cus_00312,google,referral,camp_1,2024-12-12 22:07:21
cus_00313,facebook,referral,camp_7,2025-05-24 13:55:27
cus_00314,facebook,organic,camp_6,2023-06-05 07:34:16
cus_00315,facebook,organic,camp_2,2023-04-24 19:21:27
cus_00316,email,email,camp_9,2025-04-15 04:27:48
cus_00317,twitter,email,camp_1,2023-11-28 02:58:07
cus_00318,twitter,referral,camp_2,2025-02-24 20:44:54
cus_00319,linkedin,referral,camp_8,2024-02-16 23:23:17
cus_00320,facebook,organic,camp_1,2023-07-25 18:20:19
cus_00321,email,email,camp_5,2024-06-26 03:59:32
